#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2016 01 08 18 50 175 10.7 12.8  3.15 12.90  7.60 271 1015.3  10.4  11.4 999.0 99.0 99.00
2016 01 08 19 50 178 11.0 13.3  3.18 13.79  7.19 288 1014.7  10.5  11.5 999.0 99.0 99.00
2016 01 08 20 50 175 10.8 13.2  3.05 12.12  7.16 283 1014.1  10.7  11.6 999.0 99.0 99.00
2016 01 08 21 50 178 12.1 14.4  2.96 11.43  7.10 274 1013.5  10.8  11.5 999.0 99.0 99.00
2016 01 08 22 50 176 12.1 14.3  2.67 12.12  6.27 279 1013.2  11.0  11.5 999.0 99.0 99.00
2016 01 08 23 50 178 12.4 14.4  2.58 11.43  6.24 278 1013.1  10.9  11.5 999.0 99.0 99.00
2016 01 09 00 50 179 12.1 14.2  2.83 12.12  6.36 270 1013.0  11.1  11.5 999.0 99.0 99.00
2016 01 09 01 50 180 12.1 14.7  2.88 12.12  6.06 261 1012.9  10.9  11.4 999.0 99.0 99.00
2016 01 09 02 50 174 13.2 16.3  2.61 11.43  5.98 258 1012.6  10.9  11.4 999.0 99.0 99.00
2016 01 09 03 50 164 12.7 16.0  2.90 12.12  6.00 261 1012.4  10.5  11.4 999.0 99.0 99.00
2016 01 09 04 50 165 12.1 15.3  2.86  6.67  6.06 208 1012.0  11.2  11.4 999.0 99.0 99.00
2016 01 09 05 50 167 13.2 16.1  2.90  6.67  5.88 212 1011.8  11.2  11.4 999.0 99.0 99.00
2016 01 09 06 50 180 16.4 20.7  3.11  7.14  6.05 210 1011.7  10.6  11.4 999.0 99.0 99.00
2016 01 09 07 50 171 14.7 17.7  3.41  7.14  6.05 204 1011.8  10.6  11.5 999.0 99.0 99.00
